"OWNER";"TABLE_NAME";"COLUMN_ID";"COLUMN_NAME";"DATA_TYPE";"DATA_LENGTH";"NULLABLE";"DATA_SCALE";"AVG_COL_LEN";"NUM_DISTINCT";"NUM_NULLS";"DENSITY";"DEFAULT_ON_NULL";"NUM_BUCKETS";"COMMENTS";"CONSTRAINTS"
"SUANOTA";"APP_DEVICE_AUD";1;"ID_DEVICE";"NUMBER";22;"N";0;0;0;0;0;"NO";0;"Sequencial da tabela";"PK_APP_DEVICE_AUD (PRIMARY KEY, ENABLED); SYS_C00253127 (CHECK, ENABLED)"
"SUANOTA";"APP_DEVICE_AUD";2;"SEQ_AUDITORIA";"NUMBER";22;"N";0;0;0;0;0;"NO";0;"Seq. da Auditoria.";"FK_APP_DEVICE_AUD_R_AUDITORIA (FOREIGN KEY, ENABLED); PK_APP_DEVICE_AUD (PRIMARY KEY, ENABLED); SYS_C00253128 (CHECK, ENABLED)"
"SUANOTA";"APP_DEVICE_AUD";3;"TIP_AUDITORIA";"NUMBER";22;"Y";0;0;0;0;0;"NO";0;"Tipo da auditoria: 0 - Insert, 1 - Update, 2 - Delete.";" (, )"
"SUANOTA";"APP_DEVICE_AUD";4;"CD_USUARIO_ALTERACAO";"VARCHAR2";250;"Y";;0;0;0;0;"NO";0;"Código do usuário que alterou o registro na tabela";" (, )"
"SUANOTA";"APP_DEVICE_AUD";5;"CD_USUARIO_INCLUSAO";"VARCHAR2";250;"Y";;0;0;0;0;"NO";0;"Código do usuário que incluiu o registro na tabela";" (, )"
"SUANOTA";"APP_DEVICE_AUD";6;"TM_ALTERACAO";"DATE";7;"Y";;0;0;0;0;"NO";0;"Data/Hora de alteração do registro na tabela";" (, )"
"SUANOTA";"APP_DEVICE_AUD";7;"TM_INCLUSAO";"DATE";7;"Y";;0;0;0;0;"NO";0;"Data/Hora de inclusão do registro na tabela";" (, )"
"SUANOTA";"APP_DEVICE_AUD";8;"NM_MARCA_DEVICE";"VARCHAR2";200;"Y";;0;0;0;0;"NO";0;"Nome da marca do device do usuário";" (, )"
"SUANOTA";"APP_DEVICE_AUD";9;"NM_MODELO_DEVICE";"VARCHAR2";200;"Y";;0;0;0;0;"NO";0;"Nome do modelo do device do usuário";" (, )"
"SUANOTA";"APP_DEVICE_AUD";10;"NU_UUID_DEVICE";"VARCHAR2";36;"Y";;0;0;0;0;"NO";0;"Número do UUID(Identificador único do dispositivo) do device do usuário";" (, )"
